Questions;Answers; ; ; ;Indexes; ; ;
Sensoriklabor Probe 644 Farbe;Dunkelrot mit bläul. Reflexens; ; ; ;2; ; ;
Sensoriklabor Probe 644 Geruch;Würzig;Dunkle Beeren;Vanille;Holz;2;7;10;12
Sensoriklabor Probe 644 Geschmack;Tannine;Alkoholisch;Leichte Süße; ;2;4;8;
Sensoriklabor Probe 983 Farbe;Rubinrot; ; ; ;1; ; ;
Sensoriklabor Probe 983 Geruch;Fruchtig;Erdbeere;Pflaume; ;0;5;8;
Sensoriklabor Probe 983 Geschmack;Tannine;Leichte Süße;Dominante Säure; ;2;8;9;
Proband ID;13; ; ;
Studie;CATA; ; ;
Studie Variante;Rotwein; ; ;
Umgebung;Sensoriklabor; ; ;
