Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 720 Farbe;Hellgelb; ; ; ;0; ; ;
Weinkeller Probe 720 Geruch;Blumig;Zitrus;Pfirsich;Apfel;1;5;7;8
Weinkeller Probe 720 Geschmack;Süß;Alkoholisch;Dezente Säure;SchmelzCremig;0;3;4;9
Weinkeller Probe 131 Farbe;Hellgelb; ; ; ;0; ; ;
Weinkeller Probe 131 Geruch;Zitrus;Honigmelone;Pfirsich;Apfel;5;6;7;8
Weinkeller Probe 131 Geschmack;Sauer; ; ; ;2; ; ;
Weinkeller Probe 364 Farbe;Mittleres gelb; ; ; ;1; ; ;
Weinkeller Probe 364 Geruch;SchmelzCremig;Apfel;Holz; ;3;8;11;
Weinkeller Probe 364 Geschmack;Süß;Holz;Bitter;SchmelzCremig;0;5;6;9
Proband ID;4; ; ;
Studie;CATA; ; ;
Studie Variante;Weißwein; ; ;
Umgebung;Weinkeller; ; ;
