Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 644 Farbe;Rubinrot; ; ; ;1; ; ;
Weinkeller Probe 644 Geruch;Fruchtig;Erdbeere;Vanille;Holz;0;5;10;12
Weinkeller Probe 644 Geschmack;Adstringierend;Tannine;Holz; ;1;2;6;
Weinkeller Probe 322 Farbe;Dunkelrot mit bläul. Reflexens; ; ; ;2; ; ;
Weinkeller Probe 322 Geruch;Fruchtig;Erdbeere;Kirsche;Pflaume;0;5;6;8
Weinkeller Probe 322 Geschmack;Tannine;Dezente Säure; ; ;2;5; ;
Proband ID;18; ; ;
Studie;CATA; ; ;
Studie Variante;Rotwein; ; ;
Umgebung;Weinkeller; ; ;
