Questions;Answers; ; ; ;Indexes; ; ;
Sensoriklabor Probe 364 Farbe;Mittleres gelb; ; ; ;1; ; ;
Sensoriklabor Probe 364 Geruch;Fruchtig;Blumig;Honigmelone;Rose;0;1;6;10
Sensoriklabor Probe 364 Geschmack;Süß;Dezente Säure;SchmelzCremig; ;0;4;9;
Sensoriklabor Probe 597 Farbe;Hellgelb; ; ; ;0; ; ;
Sensoriklabor Probe 597 Geruch;Dumpf;Zitrus;Pfirsich; ;4;5;7;
Sensoriklabor Probe 597 Geschmack;Dezente Säure;Holz;Bitter;Leichte Süße;4;5;6;7
Sensoriklabor Probe 720 Farbe;Mittleres gelb; ; ; ;1; ; ;
Sensoriklabor Probe 720 Geruch;ButtrigLaktisch;Holz; ; ;3;11; ;
Sensoriklabor Probe 720 Geschmack;Holz;SchmelzCremig; ; ;5;9; ;
Proband ID;2; ; ;
Studie;CATA; ; ;
Studie Variante;Weißwein; ; ;
Umgebung;Sensoriklabor; ; ;
