Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 720 Farbe;Mittleres gelb; ; ; ;1; ; ;
Weinkeller Probe 720 Geruch;Fruchtig;Zitrus;Pfirsich; ;2;3;5;
Weinkeller Probe 720 Geschmack;Leichte Süße;Dezente Säure;Bitter;SchmelzCremig;0;3;6;8
Weinkeller Probe 364 Farbe;Mittleres gelb; ; ; ;1; ; ;
Weinkeller Probe 364 Geruch;Blumig;Rose;Fruchtig; ;0;1;2;
Weinkeller Probe 364 Geschmack;Süß;Dominante Säure;SchmelzCremig; ;1;5;8;
Weinkeller Probe 131 Farbe;Hellgelb; ; ; ;0; ; ;
Weinkeller Probe 131 Geruch;Apfel;Birne; ; ;6;7; ;
Weinkeller Probe 131 Geschmack;Sauer; ; ; ;4; ; ;
Proband ID;3; ; ;
Studie;CATA; ; ;
Studie Variante;Weißwein; ; ;
Umgebung;Weinkeller; ; ;
