Questions;Answers; ; ; ;Indexes; ; ;
Weinkeller Probe 644 Farbe;Dunkelrot mit bläul. Reflexen; ; ; ;2; ; ;
Weinkeller Probe 644 Geruch;Dunkle Beeren;Würzig;Vanille;Holz;3;6;8;11
Weinkeller Probe 644 Geschmack;Alkoholisch;Tannine;Holz; ;6;8;9;
Weinkeller Probe 983 Farbe;Hellrot mit braunem Rand; ; ; ;0; ; ;
Weinkeller Probe 983 Geruch;Würzig;Holz;Dumpf; ;6;11;12;
Weinkeller Probe 983 Geschmack;Dezente Säure;Alkoholisch;Tannine;Holz;2;6;8;9
Proband ID;28; ; ;
Studie;CATA; ; ;
Studie Variante;Rotwein; ; ;
Umgebung;Weinkeller; ; ;
